 AUSTENITE DECOMPOSITION MODEL
 RESULTS: for grain size=  40.0
  time steps        cooling rate, oC/s ("+" = cooling; "-" = heating)
50636   51.2 0.65 0.61 M      337.6
50637   51.2 0.65 0.61 M      337.6
50638   51.2 0.65 0.61 M      337.6
50639   51.2 0.65 0.61 M      337.6
50640   51.2 0.65 0.61 M      337.6
50641   51.2 0.65 0.61 M      337.6
50642   51.2 0.65 0.61 M      337.6
50643   51.2 0.65 0.61 M      337.6
50644   51.2 0.65 0.61 M      337.6
50645   51.2 0.65 0.61 M      337.6
50646   51.2 0.65 0.61 M      337.5
50647   51.2 0.65 0.61 M      337.5
50648   51.2 0.65 0.61 M      337.5
50649   51.2 0.65 0.61 M      337.5
50650   51.2 0.65 0.61 M      337.5
50651   51.2 0.65 0.61 M      337.5
50652   51.2 0.65 0.61 M      337.5
50653   51.2 0.65 0.61 M      337.5
50654   51.2 0.65 0.61 M      337.5
50655   51.2 0.65 0.61 M      337.5
50656   51.2 0.65 0.61 M      337.4
50657   51.2 0.65 0.61 M      337.4
50658   51.2 0.65 0.61 M      337.4
50659   51.2 0.65 0.61 M      337.4
50660   51.2 0.65 0.61 M      337.4
50661   51.2 0.65 0.61 M      337.4
50662   51.2 0.65 0.61 M      337.4
50663   51.2 0.65 0.61 M      337.4
50664   51.2 0.65 0.61 M      337.4
50665   51.2 0.65 0.61 M      337.4
50666   51.2 0.65 0.61 M      337.3
50667   51.2 0.65 0.61 M      337.3
50668   51.2 0.65 0.61 M      337.3
50669   51.2 0.65 0.61 M      337.3
50670   51.2 0.65 0.61 M      337.3
50671   51.2 0.65 0.61 M      337.3
50672   51.2 0.65 0.61 M      337.3
50673   51.2 0.65 0.61 M      337.3
50674   51.2 0.65 0.61 M      337.3
50675   51.2 0.65 0.61 M      337.3
50676   51.3 0.65 0.61 M      337.2
50677   51.3 0.65 0.61 M      337.2
50678   51.3 0.65 0.61 M      337.2
50679   51.3 0.65 0.61 M      337.2
50680   51.3 0.65 0.61 M      337.2
50681   51.3 0.65 0.61 M      337.2
50682   51.3 0.65 0.61 M      337.2
50683   51.3 0.65 0.61 M      337.2
50684   51.3 0.65 0.61 M      337.2
50685   51.3 0.65 0.61 M      337.2
50686   51.3 0.65 0.61 M      337.1
50687   51.3 0.65 0.61 M      337.1
50688   51.3 0.65 0.61 M      337.1
50689   51.3 0.65 0.61 M      337.1
50690   51.3 0.65 0.61 M      337.1
50691   51.3 0.65 0.61 M      337.1
50692   51.3 0.65 0.61 M      337.1
50693   51.3 0.65 0.61 M      337.1
50694   51.3 0.65 0.61 M      337.1
50695   51.3 0.65 0.61 M      337.1
50696   51.3 0.65 0.61 M      337.0
50697   51.3 0.65 0.61 M      337.0
50698   51.3 0.65 0.61 M      337.0
50699   51.3 0.65 0.61 M      337.0
50700   51.3 0.65 0.61 M      337.0
50701   51.3 0.65 0.61 M      337.0
50702   51.3 0.65 0.61 M      337.0
50703   51.3 0.65 0.61 M      337.0
50704   51.3 0.65 0.61 M      337.0
50705   51.3 0.65 0.61 M      337.0
50706   51.3 0.65 0.61 M      336.9
